,comparison,Connection_kh0,Particles_kh0,Connection_kh10,Particles_kh10,Connection_kh50,Particles_kh50,Connection_kh50_Run2,Particles_kh50_Run2
1,Guam / Kauai,Not,Not,Settled,10,Settled,6,Settled,6
3,Guam / Maui,Not,Not,Not,Not,Settled,1,Settled,1
4,Guam / Niihau,Not,Not,Settled,11,Settled,8,Settled,8
5,Guam / NW_Main_Hawaiin_Bank_2,Not,Not,Settled,3,Settled,6,Settled,5
6,Guam / Oahu,Not,Not,Settled,1,Settled,6,Settled,2
7,Majuro / Bank_west_of_St._Rogatien_Bank,Not,Not,Settled,58,Settled,37,Settled,49
8,Majuro / French_Frigate_Shoals,Not,Not,Settled,1,Settled,6,Settled,10
9,Majuro / Gardner_Pinnacles,Not,Not,Settled,27,Settled,51,Settled,76
11,Majuro / Laysan_South_Pinnacle,Not,Not,Not,Not,Settled,1,Not,Not
12,Majuro / Laysan_West_pinnacle,Not,Not,Settled,4,Settled,6,Settled,5
13,Majuro / Maro_Reef,Not,Not,Not,Not,Settled,1,Not,Not
14,Majuro / Necker_Island,Not,Not,Not,Not,Settled,2,Not,Not
16,Majuro / St._Rogatien_Bank,Not,Not,Settled,38,Settled,56,Settled,53
17,Majuro / St._Rogatien_SE_Bank_1,Not,Not,Settled,15,Settled,27,Settled,19
18,Majuro / St._Rogatien_SE_Bank_2,Not,Not,Settled,2,Settled,12,Settled,12
19,Majuro / St._Rogatien_SE_Bank_3,Not,Not,Settled,1,Settled,14,Settled,9
20,Pohnpei / Gardner_Pinnacles,Not,Not,Settled,10,Settled,58,Settled,63
26,Pohnpei / Pearl_and_Hermes_Atoll,Not,Not,Not,Not,Settled,1,Settled,4
29,Rongelap / ??,Not,Not,Settled,2,Settled,2,Settled,1
34,Rongelap / Kaula,Not,Not,Not,Not,Not,Not,Settled,1
36,Rongelap / Maro_Reef,Not,Not,Not,Not,Settled,9,Settled,6
37,Rongelap / Molokai,Not,Not,Settled,19,Settled,9,Settled,14
39,Rongelap / Nihoa_Island,Not,Not,Settled,3,Settled,5,Settled,3
40,Rongelap / NW_Main_Hawaiin_Bank_1,Not,Not,Settled,14,Settled,19,Settled,10
41,Rongelap / NW_Main_Hawaiin_Bank_2,Not,Not,Settled,4,Settled,11,Settled,6
48,Saipan / Kaula,Not,Not,Settled,8,Settled,16,Settled,22
49,Saipan / Molokai,Not,Not,Not,Not,Settled,2,Settled,1
50,Saipan / Niihau,Not,Not,Settled,55,Settled,42,Settled,47
51,Saipan / NW_Main_Hawaiin_Bank_2,Not,Not,Settled,46,Settled,34,Settled,40
55,Wake / Kahoolawe,Not,Not,Settled,35,Settled,48,Settled,44
57,Wake / Kaula,Not,Not,Settled,2,Settled,6,Settled,6
61,Wake / Nihoa_Island,Not,Not,Not,Not,Settled,2,Settled,1
62,Wake / Niihau,Not,Not,Settled,5,Settled,7,Settled,7
63,Wake / NW_Main_Hawaiin_Bank_1,Not,Not,Settled,5,Settled,8,Settled,4
