"","comparison","Connection_daily","Particles_daily","Connection_4days","Particles_4days","Connection_7days","Particles_7days"
"1","Guam / ??","Settled",1,"Not","Not","Not","Not"
"2","Guam / Hawaii","Settled",4,"Settled","2","Not","Not"
"4","Guam / Maui","Settled",1,"Not","Not","Not","Not"
"5","Guam / Niihau","Settled",7,"Not","Not","Settled","1"
"12","Majuro / Maro_Reef","Settled",11,"Not","Not","Settled","3"
"13","Majuro / Necker_Island","Settled",3,"Settled","2","Not","Not"
"14","Majuro / Nihoa_Island","Settled",1,"Not","Not","Not","Not"
"15","Majuro / Niihau","Settled",4,"Not","Not","Settled","1"
"16","Majuro / NW_Main_Hawaiin_Bank_1","Settled",1,"Not","Not","Not","Not"
"17","Majuro / NW_Main_Hawaiin_Bank_2","Settled",1,"Not","Not","Not","Not"
"19","Majuro / St._Rogatien_Bank","Settled",4,"Not","Not","Settled","1"
"20","Majuro / St._Rogatien_SE_Bank_1","Settled",7,"Settled","1","Not","Not"
"23","Pohnpei / Gardner_Pinnacles","Settled",4,"Not","Not","Not","Not"
"24","Pohnpei / Johnston_Atoll","Settled",1,"Settled","1","Not","Not"
"25","Pohnpei / Kauai","Settled",1,"Settled","1","Not","Not"
"33","Pohnpei / St._Rogatien_SE_Bank_1","Settled",1,"Not","Not","Not","Not"
"34","Rongelap / Bank_west_of_St._Rogatien_Bank","Settled",4,"Settled","1","Not","Not"
"36","Rongelap / Gardner_Pinnacles","Settled",5,"Not","Not","Settled","1"
"37","Rongelap / Hawaii","Settled",1,"Not","Not","Not","Not"
"39","Rongelap / Kahoolawe","Settled",1,"Settled","1","Not","Not"
"41","Rongelap / Kaula","Settled",3,"Settled","2","Not","Not"
"42","Rongelap / Lanai","Settled",3,"Not","Not","Settled","1"
"43","Rongelap / Maui","Settled",2,"Settled","1","Not","Not"
"44","Rongelap / Molokai","Settled",2,"Not","Not","Not","Not"
"45","Rongelap / Necker_Island","Settled",9,"Not","Not","Not","Not"
"46","Rongelap / Nihoa_Island","Settled",2,"Not","Not","Settled","1"
"47","Rongelap / Niihau","Settled",6,"Settled","2","Not","Not"
"50","Rongelap / Oahu","Settled",1,"Not","Not","Not","Not"
"56","Saipan / ??","Settled",1,"Not","Not","Not","Not"
"58","Saipan / Kahoolawe","Settled",1,"Not","Not","Not","Not"
"61","Saipan / Lanai","Settled",1,"Not","Not","Not","Not"
"63","Saipan / Molokai","Settled",2,"Not","Not","Settled","1"
"66","Saipan / Oahu","Settled",17,"Settled","5","Not","Not"
"67","Wake / ??","Settled",4,"Not","Not","Settled","1"
"74","Wake / Nihoa_Island","Settled",2,"Settled","1","Not","Not"
"75","Wake / Niihau","Settled",4,"Not","Not","Settled","1"
"76","Wake / NW_Main_Hawaiin_Bank_1","Settled",4,"Settled","2","Not","Not"
"77","Wake / NW_Main_Hawaiin_Bank_2","Settled",3,"Not","Not","Not","Not"
