comparison,Connection_100_180,Particles_100_180,Connection_100repeat_180,Particles_100repeat_180,Connection_250_180,Particles_250_180,Connection_500_180,Particles_500_180,Connection_750_180,Particles_750_180,Connection_1000_180,Particles_1000_180
Guam / Nihoa_Island,Settled,1,Not,Not,Settled,2,Settled,5,Settled,7,Settled,8
Guam / NW_Main_Hawaiin_Bank_1,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Settled,1
Johnston / Johnston_Atoll,Not,Not,Not,Not,Settled,2,Settled,4,Settled,7,Settled,9
Majuro / ??,Not,Not,Not,Not,Settled,1,Settled,2,Settled,3,Settled,5
Majuro / ??,Not,Not,Not,Not,Settled,1,Settled,2,Settled,1,Settled,5
Majuro / Hawaii,Settled,4,Not,Not,Settled,4,Settled,10,Settled,13,Settled,21
Majuro / Kahoolawe,Settled,1,Not,Not,Settled,2,Settled,3,Settled,2,Settled,7
Majuro / Maui,Settled,3,Not,Not,Settled,2,Settled,12,Settled,15,Settled,29
Majuro / Pioneer_Bank,Not,Not,Not,Not,Settled,4,Settled,2,Settled,5,Settled,7
Okinawa / ??,Not,Not,Not,Not,Not,Not,Settled,1,Settled,1,Settled,1
Okinawa / Kahoolawe,Not,Not,Not,Not,Not,Not,Not,Not,Settled,1,Settled,2
Okinawa / Lanai,Not,Not,Not,Not,Not,Not,Settled,1,Not,Not,Settled,1
Okinawa / Maui,Not,Not,Not,Not,Settled,3,Settled,1,Settled,2,Settled,4
Okinawa / Maui,Not,Not,Not,Not,Settled,3,Settled,1,Settled,2,Settled,4
Okinawa / Molokai,Settled,1,Not,Not,Settled,2,Settled,3,Settled,4,Settled,5
Okinawa / Oahu,Not,Not,Not,Not,Not,Not,Not,Not,Settled,1,Settled,2
Pohnpei / ??,Not,Not,Not,Not,Settled,1,Not,Not,Not,Not,Settled,2
Pohnpei / Hawaii,Settled,3,Settled,1,Not,Not,Settled,7,Settled,5,Settled,11
Pohnpei / Maui,Not,Not,Settled,2,Settled,1,Not,Not,Settled,4,Settled,3
Pohnpei / Molokai,Not,Not,Not,Not,Not,Not,Settled,1,Settled,2,Settled,2
Pohnpei / Necker_Island,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Settled,1
Wake / Bank_west_of_St._Rogatien_Bank,Not,Not,Not,Not,Settled,1,Settled,1,Settled,1,Not,Not
Wake / Gardner_Pinnacles,Not,Not,Not,Not,Settled,1,Settled,5,Settled,2,Settled,1
Wake / Necker_Island,Not,Not,Not,Not,Settled,1,Settled,4,Settled,3,Settled,2
Wake / St._Rogatien_Bank,Not,Not,Not,Not,Not,Not,Settled,2,Settled,2,Settled,1
Wake / St._Rogatien_SE_Bank_1,Not,Not,Not,Not,Settled,1,Not,Not,Settled,2,Settled,1
Wake / St._Rogatien_SE_Bank_2,Not,Not,Settled,2,Not,Not,Settled,5,Settled,3,Settled,5
Wake / St._Rogatien_SE_Bank_2,Not,Not,Settled,2,Not,Not,Settled,5,Settled,3,Settled,6
Wake / St._Rogatien_SE_Bank_2,Not,Not,Settled,2,Not,Not,Settled,5,Settled,2,Settled,5
Wake / St._Rogatien_SE_Bank_2,Not,Not,Settled,2,Not,Not,Settled,5,Settled,2,Settled,6
Wake / St._Rogatien_SE_Bank_3,Settled,3,Not,Not,Settled,4,Settled,9,Settled,5,Settled,20
Wake / St._Rogatien_SE_Bank_3,Settled,3,Not,Not,Settled,4,Settled,9,Settled,5,Settled,3
Wake / St._Rogatien_SE_Bank_3,Settled,3,Not,Not,Settled,4,Settled,9,Settled,3,Settled,20
Wake / St._Rogatien_SE_Bank_3,Settled,3,Not,Not,Settled,4,Settled,9,Settled,3,Settled,3
