	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	29817
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	6783
2	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	811
3	Guam	Gardner_Pinnacles	Not close enough	1580
4	Guam	Kauai	Not close enough	177
5	Guam	Kauai	Settled	3
6	Guam	Kaula	Not close enough	3
7	Guam	Kaula	Settled	3
8	Guam	Maui	Not close enough	2
9	Guam	Molokai	Not close enough	4
10	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	874
11	Guam	NW_Main_Hawaiin_Bank_2	Settled	5
12	Guam	Necker_Island	Not close enough	226
13	Guam	Nihoa_Island	Not close enough	27765
14	Guam	Niihau	Not close enough	1
15	Guam	Niihau	Settled	4
16	Guam	Oahu	Not close enough	62
17	Guam	Oahu	Settled	3
18	Guam	Pearl_and_Hermes_Atoll	Not close enough	18351
19	Guam	Raita_Bank	Not close enough	169726
20	Johnston	Hawaii	Not close enough	713
21	Johnston	Johnston_Atoll	Not close enough	35887
22	Kiritimati	Johnston_Atoll	Not close enough	35926
23	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	110
24	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	65
25	Majuro	French_Frigate_Shoals	Not close enough	27
26	Majuro	French_Frigate_Shoals	Settled	4
27	Majuro	Gardner_Pinnacles	Not close enough	1044
28	Majuro	Gardner_Pinnacles	Settled	40
29	Majuro	Johnston_Atoll	Not close enough	29696
30	Majuro	Johnston_Atoll	Settled	3222
31	Majuro	Laysan_South_Pinnacle	Not close enough	137
32	Majuro	Laysan_West_pinnacle	Not close enough	95
33	Majuro	Laysan_West_pinnacle	Settled	4
34	Majuro	Maro_Reef	Not close enough	622
35	Majuro	Raita_Bank	Not close enough	1032
36	Majuro	Raita_Bank	Settled	120
37	Majuro	St._Rogatien_Bank	Not close enough	282
38	Majuro	St._Rogatien_Bank	Settled	38
39	Majuro	St._Rogatien_SE_Bank_1	Settled	20
40	Majuro	St._Rogatien_SE_Bank_2	Not close enough	5
41	Majuro	St._Rogatien_SE_Bank_2	Settled	5
42	Majuro	St._Rogatien_SE_Bank_3	Not close enough	30
43	Majuro	St._Rogatien_SE_Bank_3	Settled	2
44	Okinawa	Gardner_Pinnacles	Not close enough	1044
45	Okinawa	Hawaii	Not close enough	5238
46	Okinawa	Kauai	Not close enough	44686
47	Okinawa	Maui	Not close enough	16950
48	Okinawa	Molokai	Not close enough	875
49	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	73
50	Okinawa	Nihoa_Island	Not close enough	52090
51	Okinawa	Oahu	Not close enough	21364
52	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	19666
53	Okinawa	Raita_Bank	Not close enough	350414
54	Pohnpei	Gardner_Pinnacles	Not close enough	1201
55	Pohnpei	Gardner_Pinnacles	Settled	15
56	Pohnpei	Johnston_Atoll	Not close enough	248
57	Pohnpei	Laysan_Island	Not close enough	36648
58	Pohnpei	Laysan_Island	Settled	19587
59	Pohnpei	Laysan_South_Pinnacle	Not close enough	26034
60	Pohnpei	Laysan_South_Pinnacle	Settled	16285
61	Pohnpei	Laysan_West_pinnacle	Not close enough	9497
62	Pohnpei	Laysan_West_pinnacle	Settled	11031
63	Pohnpei	Lisianski_Island	Not close enough	4774
64	Pohnpei	Lisianski_Island	Settled	1015
65	Pohnpei	Maro_Reef	Not close enough	44593
66	Pohnpei	Maro_Reef	Settled	30276
67	Pohnpei	Pearl_and_Hermes_Atoll	Not close enough	5
68	Pohnpei	Pioneer_Bank	Not close enough	2124
69	Pohnpei	Pioneer_Bank	Settled	1667
70	Pohnpei	Raita_Bank	Not close enough	10275
71	Pohnpei	Raita_Bank	Settled	3744
72	Pohnpei	St._Rogatien_Bank	Not close enough	374
73	Pohnpei	St._Rogatien_SE_Bank_3	Not close enough	207
74	Rongelap	??	Not close enough	1
75	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	460
76	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	421
77	Rongelap	French_Frigate_Shoals	Not close enough	2975
78	Rongelap	French_Frigate_Shoals	Settled	1566
79	Rongelap	Gardner_Pinnacles	Not close enough	1291
80	Rongelap	Gardner_Pinnacles	Settled	328
81	Rongelap	Hawaii	Not close enough	6
82	Rongelap	Johnston_Atoll	Not close enough	19175
83	Rongelap	Johnston_Atoll	Settled	404
84	Rongelap	Kahoolawe	Not close enough	15
85	Rongelap	Kaula	Not close enough	1471
86	Rongelap	Lanai	Settled	4
87	Rongelap	Maro_Reef	Not close enough	21
88	Rongelap	Maro_Reef	Settled	1
89	Rongelap	Molokai	Not close enough	3
90	Rongelap	Molokai	Settled	1
91	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	1045
92	Rongelap	NW_Main_Hawaiin_Bank_1	Settled	6
93	Rongelap	NW_Main_Hawaiin_Bank_2	Not close enough	35
94	Rongelap	NW_Main_Hawaiin_Bank_2	Settled	3
95	Rongelap	Necker_Island	Not close enough	2929
96	Rongelap	Necker_Island	Settled	181
97	Rongelap	Nihoa_Island	Not close enough	21
98	Rongelap	Oahu	Not close enough	1
99	Rongelap	Raita_Bank	Not close enough	124
100	Rongelap	Raita_Bank	Settled	46
101	Rongelap	St._Rogatien_Bank	Not close enough	156
102	Rongelap	St._Rogatien_Bank	Settled	824
103	Rongelap	St._Rogatien_SE_Bank_1	Not close enough	36
104	Rongelap	St._Rogatien_SE_Bank_1	Settled	960
105	Rongelap	St._Rogatien_SE_Bank_2	Not close enough	66
106	Rongelap	St._Rogatien_SE_Bank_2	Settled	689
107	Rongelap	St._Rogatien_SE_Bank_3	Not close enough	754
108	Rongelap	St._Rogatien_SE_Bank_3	Settled	581
109	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	685
110	Saipan	Gardner_Pinnacles	Not close enough	9995
111	Saipan	Kauai	Not close enough	1633
112	Saipan	Kauai	Settled	61
113	Saipan	Kaula	Not close enough	5
114	Saipan	Kaula	Settled	8
115	Saipan	Maui	Not close enough	19
116	Saipan	Molokai	Not close enough	10
117	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	10620
118	Saipan	NW_Main_Hawaiin_Bank_2	Settled	44
119	Saipan	Necker_Island	Not close enough	1210
120	Saipan	Nihoa_Island	Not close enough	58198
121	Saipan	Niihau	Not close enough	52
122	Saipan	Niihau	Settled	88
123	Saipan	Oahu	Not close enough	296
124	Saipan	Oahu	Settled	6
125	Saipan	Raita_Bank	Not close enough	136670
126	Wake	??	Not close enough	42
127	Wake	??	Settled	3
128	Wake	Hawaii	Not close enough	119029
129	Wake	Hawaii	Settled	193
130	Wake	Johnston_Atoll	Not close enough	17136
131	Wake	Kahoolawe	Not close enough	311
132	Wake	Kahoolawe	Settled	30
133	Wake	Kauai	Not close enough	360
134	Wake	Kauai	Settled	45
135	Wake	Kaula	Not close enough	4680
136	Wake	Kaula	Settled	5
137	Wake	Lanai	Not close enough	586
138	Wake	Lanai	Settled	303
139	Wake	Maui	Settled	315
140	Wake	Molokai	Not close enough	1
141	Wake	Molokai	Settled	180
142	Wake	NW_Main_Hawaiin_Bank_1	Not close enough	43
143	Wake	NW_Main_Hawaiin_Bank_1	Settled	1
144	Wake	NW_Main_Hawaiin_Bank_2	Not close enough	2
145	Wake	Necker_Island	Not close enough	18
146	Wake	Nihoa_Island	Not close enough	3
147	Wake	Niihau	Not close enough	11
148	Wake	Niihau	Settled	3
149	Wake	Oahu	Not close enough	2225
150	Wake	Oahu	Settled	875
