	release_site	closest_island	Settled	count
0	FrenchFrigateShoal	Hawaii	Not close enough	30044
1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	6556
2	Guam	??	Not close enough	3
3	Guam	??	Settled	10
4	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	820
5	Guam	Gardner_Pinnacles	Not close enough	2551
6	Guam	Hawaii	Not close enough	263
7	Guam	Hawaii	Settled	604
8	Guam	Kahoolawe	Settled	12
9	Guam	Kauai	Not close enough	5159
10	Guam	Kauai	Settled	1181
11	Guam	Kaula	Not close enough	227
12	Guam	Kaula	Settled	93
13	Guam	Lanai	Not close enough	1
14	Guam	Lanai	Settled	14
15	Guam	Maui	Not close enough	1541
16	Guam	Maui	Settled	105
17	Guam	Molokai	Not close enough	1182
18	Guam	Molokai	Settled	34
19	Guam	NW_Main_Hawaiin_Bank_1	Not close enough	1
20	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	8648
21	Guam	NW_Main_Hawaiin_Bank_2	Settled	31
22	Guam	Necker_Island	Not close enough	145
23	Guam	Nihoa_Island	Not close enough	43161
24	Guam	Niihau	Not close enough	118
25	Guam	Niihau	Settled	737
26	Guam	Oahu	Not close enough	3602
27	Guam	Oahu	Settled	337
28	Guam	Pearl_and_Hermes_Atoll	Not close enough	15930
29	Guam	Raita_Bank	Not close enough	133090
30	Johnston	Hawaii	Not close enough	6282
31	Johnston	Johnston_Atoll	Not close enough	30307
32	Johnston	Kaula	Not close enough	11
33	Kiritimati	Johnston_Atoll	Not close enough	35914
34	Kiritimati	Johnston_Atoll	Settled	2
35	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	1114
36	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	898
37	Majuro	French_Frigate_Shoals	Not close enough	1891
38	Majuro	French_Frigate_Shoals	Settled	1653
39	Majuro	Gardner_Pinnacles	Not close enough	5658
40	Majuro	Gardner_Pinnacles	Settled	1162
41	Majuro	Hawaii	Not close enough	10
42	Majuro	Johnston_Atoll	Not close enough	7581
43	Majuro	Johnston_Atoll	Settled	3213
44	Majuro	Kauai	Not close enough	12
45	Majuro	Kauai	Settled	24
46	Majuro	Kaula	Not close enough	283
47	Majuro	Kaula	Settled	31
48	Majuro	Lanai	Settled	3
49	Majuro	Laysan_Island	Not close enough	258
50	Majuro	Laysan_Island	Settled	30
51	Majuro	Laysan_South_Pinnacle	Not close enough	26
52	Majuro	Laysan_South_Pinnacle	Settled	27
53	Majuro	Laysan_West_pinnacle	Not close enough	78
54	Majuro	Laysan_West_pinnacle	Settled	66
55	Majuro	Maro_Reef	Not close enough	914
56	Majuro	Maro_Reef	Settled	940
57	Majuro	Molokai	Settled	11
58	Majuro	NW_Main_Hawaiin_Bank_1	Not close enough	207
59	Majuro	NW_Main_Hawaiin_Bank_1	Settled	102
60	Majuro	NW_Main_Hawaiin_Bank_2	Not close enough	29
61	Majuro	NW_Main_Hawaiin_Bank_2	Settled	55
62	Majuro	Necker_Island	Not close enough	645
63	Majuro	Necker_Island	Settled	191
64	Majuro	Nihoa_Island	Not close enough	9
65	Majuro	Nihoa_Island	Settled	23
66	Majuro	Niihau	Not close enough	13
67	Majuro	Niihau	Settled	123
68	Majuro	Oahu	Not close enough	2
69	Majuro	Oahu	Settled	4
