	Unnamed: 0	release_site	closest_island	Settled	count
0	0	Guam	Bank_west_of_St._Rogatien_Bank	Not close enough	4196
1	1	Guam	Gardner_Pinnacles	Not close enough	8110
2	2	Guam	Kauai	Not close enough	809
3	3	Guam	Kauai	Settled	22
4	4	Guam	Kaula	Not close enough	7
5	5	Guam	Kaula	Settled	7
6	6	Guam	Maui	Not close enough	20
7	7	Guam	Molokai	Not close enough	20
8	8	Guam	NW_Main_Hawaiin_Bank_2	Not close enough	4441
9	9	Guam	NW_Main_Hawaiin_Bank_2	Settled	18
10	10	Guam	Necker_Island	Not close enough	1140
11	11	Guam	Nihoa_Island	Not close enough	139144
12	12	Guam	Niihau	Not close enough	4
13	13	Guam	Niihau	Settled	18
14	14	Guam	Oahu	Not close enough	284
15	15	Guam	Oahu	Settled	9
16	16	Guam	Pearl_and_Hermes_Atoll	Not close enough	91826
17	17	Guam	Raita_Bank	Not close enough	847925
0	0	Saipan	Bank_west_of_St._Rogatien_Bank	Not close enough	3387
1	1	Saipan	Gardner_Pinnacles	Not close enough	50115
2	2	Saipan	Kauai	Not close enough	7990
3	3	Saipan	Kauai	Settled	315
4	4	Saipan	Kaula	Not close enough	19
5	5	Saipan	Kaula	Settled	58
6	6	Saipan	Maui	Not close enough	56
7	7	Saipan	Molokai	Not close enough	58
8	8	Saipan	NW_Main_Hawaiin_Bank_2	Not close enough	52778
9	9	Saipan	NW_Main_Hawaiin_Bank_2	Settled	242
10	10	Saipan	Necker_Island	Not close enough	6053
11	11	Saipan	Nihoa_Island	Not close enough	290750
12	12	Saipan	Niihau	Not close enough	211
13	13	Saipan	Niihau	Settled	350
14	14	Saipan	Oahu	Not close enough	1496
15	15	Saipan	Oahu	Settled	27
16	16	Saipan	Raita_Bank	Not close enough	684095
0	0	Majuro	Bank_west_of_St._Rogatien_Bank	Not close enough	509
1	1	Majuro	Bank_west_of_St._Rogatien_Bank	Settled	269
2	2	Majuro	French_Frigate_Shoals	Not close enough	117
3	3	Majuro	French_Frigate_Shoals	Settled	31
4	4	Majuro	Gardner_Pinnacles	Not close enough	5065
5	5	Majuro	Gardner_Pinnacles	Settled	199
6	6	Majuro	Johnston_Atoll	Not close enough	148496
7	7	Majuro	Johnston_Atoll	Settled	16255
8	8	Majuro	Laysan_South_Pinnacle	Not close enough	737
9	9	Majuro	Laysan_South_Pinnacle	Settled	5
10	10	Majuro	Laysan_West_pinnacle	Not close enough	393
11	11	Majuro	Laysan_West_pinnacle	Settled	15
12	12	Majuro	Maro_Reef	Not close enough	3087
13	13	Majuro	Necker_Island	Not close enough	9
14	14	Majuro	Necker_Island	Settled	8
15	15	Majuro	Raita_Bank	Not close enough	5179
16	16	Majuro	Raita_Bank	Settled	637
17	17	Majuro	St._Rogatien_Bank	Not close enough	1504
18	18	Majuro	St._Rogatien_Bank	Settled	171
19	19	Majuro	St._Rogatien_SE_Bank_1	Not close enough	7
20	20	Majuro	St._Rogatien_SE_Bank_1	Settled	103
21	21	Majuro	St._Rogatien_SE_Bank_2	Not close enough	21
22	22	Majuro	St._Rogatien_SE_Bank_2	Settled	29
23	23	Majuro	St._Rogatien_SE_Bank_3	Not close enough	141
24	24	Majuro	St._Rogatien_SE_Bank_3	Settled	13
0	0	Rongelap	??	Settled	3
1	1	Rongelap	Bank_west_of_St._Rogatien_Bank	Not close enough	2287
2	2	Rongelap	Bank_west_of_St._Rogatien_Bank	Settled	2067
3	3	Rongelap	French_Frigate_Shoals	Not close enough	15199
4	4	Rongelap	French_Frigate_Shoals	Settled	7588
5	5	Rongelap	Gardner_Pinnacles	Not close enough	6470
6	6	Rongelap	Gardner_Pinnacles	Settled	1718
7	7	Rongelap	Hawaii	Not close enough	41
8	8	Rongelap	Johnston_Atoll	Not close enough	96102
9	9	Rongelap	Johnston_Atoll	Settled	2015
10	10	Rongelap	Kahoolawe	Not close enough	50
11	11	Rongelap	Kaula	Not close enough	7180
12	12	Rongelap	Lanai	Not close enough	11
13	13	Rongelap	Lanai	Settled	4
14	14	Rongelap	Maro_Reef	Not close enough	85
15	15	Rongelap	Maro_Reef	Settled	7
16	16	Rongelap	Molokai	Not close enough	2
17	17	Rongelap	Molokai	Settled	33
18	18	Rongelap	NW_Main_Hawaiin_Bank_1	Not close enough	5350
19	19	Rongelap	NW_Main_Hawaiin_Bank_1	Settled	57
20	20	Rongelap	NW_Main_Hawaiin_Bank_2	Not close enough	190
21	21	Rongelap	NW_Main_Hawaiin_Bank_2	Settled	19
22	22	Rongelap	Necker_Island	Not close enough	14193
23	23	Rongelap	Necker_Island	Settled	929
24	24	Rongelap	Nihoa_Island	Not close enough	87
25	25	Rongelap	Nihoa_Island	Settled	12
26	26	Rongelap	Raita_Bank	Not close enough	649
27	27	Rongelap	Raita_Bank	Settled	353
28	28	Rongelap	St._Rogatien_Bank	Not close enough	804
29	29	Rongelap	St._Rogatien_Bank	Settled	4014
30	30	Rongelap	St._Rogatien_SE_Bank_1	Not close enough	164
31	31	Rongelap	St._Rogatien_SE_Bank_1	Settled	4864
32	32	Rongelap	St._Rogatien_SE_Bank_2	Not close enough	373
33	33	Rongelap	St._Rogatien_SE_Bank_2	Settled	3456
34	34	Rongelap	St._Rogatien_SE_Bank_3	Not close enough	3713
35	35	Rongelap	St._Rogatien_SE_Bank_3	Settled	2911
0	0	Kiritimati	Johnston_Atoll	Not close enough	179625
0	0	Pohnpei	Bank_west_of_St._Rogatien_Bank	Not close enough	3
1	1	Pohnpei	French_Frigate_Shoals	Not close enough	3
2	2	Pohnpei	Gardner_Pinnacles	Not close enough	6226
3	3	Pohnpei	Gardner_Pinnacles	Settled	52
4	4	Pohnpei	Johnston_Atoll	Not close enough	1248
5	5	Pohnpei	Laysan_Island	Not close enough	183537
6	6	Pohnpei	Laysan_Island	Settled	97758
7	7	Pohnpei	Laysan_South_Pinnacle	Not close enough	129903
8	8	Pohnpei	Laysan_South_Pinnacle	Settled	80632
9	9	Pohnpei	Laysan_West_pinnacle	Not close enough	47111
10	10	Pohnpei	Laysan_West_pinnacle	Settled	55625
11	11	Pohnpei	Lisianski_Island	Not close enough	23940
12	12	Pohnpei	Lisianski_Island	Settled	5102
13	13	Pohnpei	Maro_Reef	Not close enough	223202
14	14	Pohnpei	Maro_Reef	Settled	151903
15	15	Pohnpei	Pearl_and_Hermes_Atoll	Not close enough	10
16	16	Pohnpei	Pearl_and_Hermes_Atoll	Settled	4
17	17	Pohnpei	Pioneer_Bank	Not close enough	10646
18	18	Pohnpei	Pioneer_Bank	Settled	8441
19	19	Pohnpei	Raita_Bank	Not close enough	51135
20	20	Pohnpei	Raita_Bank	Settled	18671
21	21	Pohnpei	St._Rogatien_Bank	Not close enough	1857
22	22	Pohnpei	St._Rogatien_SE_Bank_3	Not close enough	991
0	0	Okinawa	Gardner_Pinnacles	Not close enough	5142
1	1	Okinawa	Hawaii	Not close enough	26131
2	2	Okinawa	Kauai	Not close enough	223075
3	3	Okinawa	Maui	Not close enough	84582
4	4	Okinawa	Molokai	Not close enough	4101
5	5	Okinawa	NW_Main_Hawaiin_Bank_2	Not close enough	319
6	6	Okinawa	Nihoa_Island	Not close enough	259619
7	7	Okinawa	Oahu	Not close enough	106022
8	8	Okinawa	Pearl_and_Hermes_Atoll	Not close enough	97692
9	9	Okinawa	Raita_Bank	Not close enough	1755317
0	0	FrenchFrigateShoal	Hawaii	Not close enough	149481
1	1	FrenchFrigateShoal	Johnston_Atoll	Not close enough	33519
0	0	Johnston	Hawaii	Not close enough	3526
1	1	Johnston	Johnston_Atoll	Not close enough	179474
0	0	Wake	??	Not close enough	189
1	1	Wake	??	Settled	25
2	2	Wake	Hawaii	Not close enough	595076
3	3	Wake	Hawaii	Settled	1108
4	4	Wake	Johnston_Atoll	Not close enough	85919
5	5	Wake	Kahoolawe	Not close enough	1530
6	6	Wake	Kahoolawe	Settled	211
7	7	Wake	Kauai	Not close enough	1647
8	8	Wake	Kauai	Settled	197
9	9	Wake	Kaula	Not close enough	23307
10	10	Wake	Kaula	Settled	11
11	11	Wake	Lanai	Not close enough	2804
12	12	Wake	Lanai	Settled	1503
13	13	Wake	Maui	Not close enough	3
14	14	Wake	Maui	Settled	1739
15	15	Wake	Molokai	Not close enough	10
16	16	Wake	Molokai	Settled	831
17	17	Wake	NW_Main_Hawaiin_Bank_1	Not close enough	282
18	18	Wake	NW_Main_Hawaiin_Bank_1	Settled	6
19	19	Wake	NW_Main_Hawaiin_Bank_2	Not close enough	19
20	20	Wake	Necker_Island	Not close enough	93
21	21	Wake	Nihoa_Island	Not close enough	12
22	22	Wake	Nihoa_Island	Settled	8
23	23	Wake	Niihau	Not close enough	27
24	24	Wake	Niihau	Settled	25
25	25	Wake	Oahu	Not close enough	10956
26	26	Wake	Oahu	Settled	4462
